[TCP] RX serial=67 src=FE dst=0A code=00 reg=0x02000100 len=256 wlen=0
[TCP] RX serial=68 src=FE dst=0B code=00 reg=0x02000000 len=256 wlen=0
[TCP] RX serial=69 src=FE dst=0B code=00 reg=0x02000100 len=256 wlen=0
[TCP] RX serial=6A src=FE dst=0C code=00 reg=0x02000000 len=256 wlen=0
[TCP] RX serial=6B src=FE dst=0C code=00 reg=0x02000100 len=256 wlen=0
[TCP] RX serial=6C src=FE dst=0D code=00 reg=0x02000000 len=256 wlen=0
[TCP] RX serial=6D src=FE dst=0D code=00 reg=0x02000100 len=256 wlen=0
[TCP] RX serial=6E src=FE dst=0E code=00 reg=0x02000000 len=256 wlen=0
[TCP] RX serial=6F src=FE dst=0E code=00 reg=0x02000100 len=256 wlen=0
[TCP] RX serial=70 src=FE dst=0F code=00 reg=0x02000000 len=256 wlen=0
[TCP] RX serial=71 src=FE dst=0F code=00 reg=0x02000100 len=256 wlen=0
[TCP] RX serial=72 src=FE dst=00 code=00 reg=0x02020020 len=64 wlen=0
[TCP] RX serial=73 src=FE dst=00 code=00 reg=0x0200000B len=1 wlen=0
[TCP] RX serial=74 src=FE dst=00 code=00 reg=0x08000000 len=256 wlen=0
[TCP] RX serial=75 src=FE dst=00 code=00 reg=0x0200009D len=1 wlen=0
[TCP] RX serial=76 src=FE dst=00 code=00 reg=0x02000023 len=1 wlen=0
[TCP] RX serial=77 src=FE dst=03 code=00 reg=0x02000000 len=256 wlen=0
[TCP] RX serial=78 src=FE dst=03 code=00 reg=0x02000100 len=256 wlen=0
[TCP] RX serial=79 src=FE dst=00 code=00 reg=0x0200009D len=1 wlen=0
[TCP] RX serial=7A src=FE dst=00 code=00 reg=0x0200004B len=1 wlen=0
[TCP] RX serial=7B src=FE dst=00 code=00 reg=0x03100109 len=1 wlen=0
[TCP] RX serial=7C src=FE dst=00 code=00 reg=0x02000022 len=1 wlen=0
[TCP] RX serial=7D src=FE dst=04 code=00 reg=0x02000000 len=256 wlen=0
[TCP] RX serial=7E src=FE dst=04 code=00 reg=0x02000100 len=256 wlen=0
[TCP] RX serial=7F src=FE dst=05 code=00 reg=0x02000000 len=256 wlen=0
[TCP] RX serial=80 src=FE dst=05 code=00 reg=0x02000100 len=256 wlen=0
[TCP] RX serial=81 src=FE dst=06 code=00 reg=0x02000000 len=256 wlen=0
[TCP] RX serial=82 src=FE dst=06 code=00 reg=0x02000100 len=256 wlen=0
[TCP] RX serial=83 src=FE dst=07 code=00 reg=0x02000000 len=256 wlen=0
[TCP] RX serial=84 src=FE dst=07 code=00 reg=0x02000100 len=256 wlen=0
[TCP] RX serial=85 src=FE dst=08 code=00 reg=0x02000000 len=256 wlen=0
[TCP] RX serial=86 src=FE dst=08 code=00 reg=0x02000100 len=256 wlen=0
[TCP] RX serial=18 src=FE dst=00 code=00 reg=0x00000002 len=2 wlen=0
[TCP] RX serial=DE src=FE dst=00 code=00 reg=0x00000016 len=8 wlen=0
[TCP] RX serial=09 src=FE dst=00 code=00 reg=0x14000000 len=88 wlen=0
[TCP] RX serial=B6 src=FE dst=00 code=00 reg=0x00000006 len=1 wlen=0
[TCP] RX serial=6D src=FE dst=01 code=00 reg=0x00000002 len=2 wlen=0
[TCP] RX serial=38 src=FE dst=01 code=00 reg=0x00000016 len=8 wlen=0
[TCP] RX serial=19 src=FE dst=01 code=00 reg=0x14000000 len=88 wlen=0
[TCP] RX serial=08 src=FE dst=01 code=00 reg=0x00000006 len=1 wlen=0
[TCP] RX serial=0F src=FE dst=02 code=00 reg=0x00000002 len=2 wlen=0
[TCP] RX serial=F2 src=FE dst=02 code=00 reg=0x00000016 len=8 wlen=0
[TCP] RX serial=C5 src=FE dst=02 code=00 reg=0x14000000 len=88 wlen=0
[TCP] RX serial=21 src=FE dst=02 code=00 reg=0x00000006 len=1 wlen=0
[TCP] RX serial=CD src=FE dst=03 code=00 reg=0x00000002 len=2 wlen=0
[TCP] RX serial=0B src=FE dst=03 code=00 reg=0x00000016 len=8 wlen=0
[TCP] RX serial=7E src=FE dst=03 code=00 reg=0x14000000 len=88 wlen=0
[TCP] RX serial=34 src=FE dst=03 code=00 reg=0x00000006 len=1 wlen=0
